LinePyHub;length;s_nom;s_nom_max;node0;node1;LineCountry;Source;Type
;333.0293584;0;5;UK3;UK2;;;onshore, repurposed
;253.9214617;0;5;UK2;UK4;;;onshore, repurposed
;219.3924577;0;5;UK4;UK1;;;onshore, repurposed
;94.46989591;0;5;NL2;NL3;;;onshore, repurposed
;122.6312951;0;5;NL3;NL4;;;onshore, repurposed
;92.35386437;0;5;NL1;NL2;;;onshore, repurposed
;94.46989591;0;5;NL2;NL3;;;onshore, repurposed
;136.4032197;0;5;NL1;BE2;;;onshore, repurposed
;156.0621953;0;5;NL4;BE2;;;onshore, repurposed
;280.8027904;0;5;DE1;DE4;;;onshore, repurposed
;96.47714124;0;5;NL4;DE1;;;onshore, repurposed
;112.6297215;0;5;NL3;DE2;;;onshore, repurposed
;329.2061232;0;5;DE2;DE4;;;onshore, repurposed
;345.0530287;0;5;DE3;DE4;;;onshore, repurposed
;254.1656044;0;5;DK1;DE3;;;onshore, repurposed
