Node,RemainingPotential_Wind_on,RemainingPotential_PV,RemainingPotential_Wind_off
BE1,3913.94,24199.27,0
BE2,6430.869151,152154.49,0
DE1,15373.31956,116715.306435,0
DE2,21145.8115,84119.177605,0
DE3,41894.02103,181880.967875,0
DE4,171736.811147,1281717.294844,0
DK1,78275.397,264517.027,0
NL1,5178.0,34008.0,0
NL2,4151.0,32786.0,0
NL3,14744.0,58795.0,0
NL4,18545.0,93198.0,0
UK1,40966.6,144709.777,0
UK2,80992.1,302298.012,0
UK3,173613.099998,258777.722997,0
UK4,125898.8,503468.68,0
UK_O,0,0,1000
UK_N,0,0,719
UK_M,0,0,504
UK_L,0,0,2800
UK_K,0,0,4835
UK_J,0,0,6468
UK_I,0,0,7913
NO_D,0,0,58400
NO_C,0,0,109647
NO_B,0,0,26310
NO_A,0,0,66170
NL_G,0,0,554237
NL_F,0,0,4926342
DK_C,0,0,63227491
DE_I,0,0,2587879
DE_H,0,0,5550424
DE_G,0,0,4974523
NO1,100000,100000,0
