Node,total_demand,industrial_demand,other_demand,PyPsa_demand
BE1,23589185.538855195,7549509.328669784,16039676.210185412,32570000.0
BE2,71643912.60373212,36856651.90529639,34787260.69843573,98919999.99999999
DE1,116630891.11242495,29646422.16265721,86984468.94976774,145450000.0
DE2,20142784.35712695,10260302.709734133,9882481.647392819,25120000.0
DE3,39010607.443241484,12624081.62189934,26386525.821342144,48650000.0
DE4,409639443.3392466,197728149.17785043,211911294.16139615,510860000.0
DK1,53534766.20357339,14478160.279832054,39056605.92374134,49630000.0
NL1,51306690.4210133,8289894.075095951,43016796.34591735,68110000.0
NL2,28632613.462086555,8004703.410376148,20627910.051710404,38010000.0
NL3,21144895.0244875,5305172.296660116,15839722.727827383,28070000.0
NL4,39397150.33062687,24863814.104614604,14533336.226012263,52300000.00000001
NO1,165131753.24932036,66503742.726467,98628010.52285336,112610000.00000001
UK1,19766180.03954134,7672000.4256398715,12094179.61390147,28030000.0
UK2,90516834.45863456,33523339.02340778,56993495.435226776,128360000.00000001
UK3,34553793.147967376,10183582.77023893,24370210.377728447,49000000.0
UK4,161507249.8914075,43759943.79406986,117747306.09733763,229030000.0
